Country,Embassy Name,Embassy Address,Google Maps URL
Nigeria,Brazil Embassy,"4 Madeira Street, Maitama 904101, Abuja, Federal Capital Territory, Nigeria",https://www.google.com/maps/place/?q=place_id:ChIJuS8SRWAKThARTC_P0XyTQLc
Nigeria,Brazil Embassy,"564/565 Independence Ave, Central Business Dis 900103, Abuja, Federal Capital Territory, Nigeria",https://www.google.com/maps/place/?q=place_id:ChIJH48MSVgLThAR7aReKzRIDrc
Netherlands,Embassy of Brazil,"Mauritskade 19, 2514 HD Den Haag, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJP_2v7DC3xUcRrtnfREz-09E
Netherlands,Consulate General of Brazil,"Tower A Level 6, World Trade Center, Strawinskylaan 609, 1077 XX Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJTx_XSKQ0xEcRX1WlLzVLojQ
Norway,Embassy of Brazil,"0244, Sigurd Syrs gate 2, 0273 Oslo, Norway",https://www.google.com/maps/place/?q=place_id:ChIJZ4vI-cptQUYR7mVtBP5PrMo
Nepal,Embassy of Brazil,"H 155, Kathmandu 44600, Nepal",https://www.google.com/maps/place/?q=place_id:ChIJuzpqLkcZ6zkRwHqduNgeerE
New Zealand,Embassy of Brazil in New Zealand,"10 Customhouse Quay, Wellington Central, Wellington 6011, New Zealand",https://www.google.com/maps/place/?q=place_id:ChIJv0Zut9SvOG0R3PEbVjuBbRc
Oman,Embassy of Brazil,"JF5C+M7X, 1505 Way, Muscat, Oman",https://www.google.com/maps/place/?q=place_id:ChIJafBF87X4kT4RrLCdGdl1I9k
Pakistan,Embassy of Brazil,"House 1, Street 72, F-8/3 F 8/3 F-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",https://www.google.com/maps/place/?q=place_id:ChIJz2s-fqq_3zgRfHmNmRLHxMk
Pakistan,Brazil Couslate,"n، 188 Shahrah-e-Faisal Service Rd N, Block A Sindhi Muslim CHS (SMCHS), Karachi, Karachi City, Sindh, Pakistan",https://www.google.com/maps/place/?q=place_id:ChIJjYV7iIQ-sz4RNvqaEO6A7zM
Panama,Embassy of Brazil,"Torre Optima, Av. Samuel Lewis &, C. 55 Este, Panama City, Panama",https://www.google.com/maps/place/?q=place_id:ChIJy8VkvOWorI8RQ3QKYs8YZL0
Peru,Brazilian Embassy in Lima,"Av. José Pardo 850, Miraflores 15074, Peru",https://www.google.com/maps/place/?q=place_id:ChIJh04-xzzIBZER-r3Hq90u_GQ
Philippines,Embassy of Brazil (Philippines),"Salcedo Village, 16th Floor, Liberty Center BLDG, 104 H.V. Dela Costa, Makati, 1227 Metro Manila, Philippines",https://www.google.com/maps/place/?q=place_id:ChIJHXE08Q7JlzMRxseNNL4Bq08
Philippines,Embassy of Brazil in Manila Philippines,"900 Romualdez, Ermita, Manila, 1000 Metro Manila, Philippines",https://www.google.com/maps/place/?q=place_id:ChIJwcTpG9LJlzMRlvDU9jE0_pI
Puerto Rico,Texas de Brazil,"Puerto Rico, 200 Convention Boulevard, 200 Blvd. Centro de Convenciones, San Juan, 00907, Puerto Rico",https://www.google.com/maps/place/?q=place_id:ChIJJ8tk5ShvA4wRa95814gIqZg
"Korea, Democratic People's Republic of",Embassy of Brazil,"North Korea, Pyongyang, 3 Munsudong, 41 (ground floor)",https://www.google.com/maps/place/?q=place_id:ChIJ2fNrX1cCfjURdavm9q36cKo
Portugal,Embassy of the Federative Republic of Brazil,"Estrada das Laranjeiras 144, 1600-136 Lisboa, Portugal",https://www.google.com/maps/place/?q=place_id:ChIJu4Zvd2HLHg0RRMmRnHrg5Q8
Portugal,Consulate-General of the Federative Republic of Brazil in Lisbon,"R. António Maria Cardoso 39, 1200-443 Lisboa, Portugal",https://www.google.com/maps/place/?q=place_id:ChIJPTT9-X40GQ0R4sVVMNie2Uw
Paraguay,Brazilian Embassy,"P95J+XG4, esquina, Eligio Ayala & Tte. Cnel. Irrazabal, Asunción, Paraguay",https://www.google.com/maps/place/?q=place_id:ChIJPWPNm96nXZQRta_mLYfKgbo
Paraguay,Consulate General of Brazil,"Av. Mariscal Estigarribia, nº 1856, Bairro, Asunción, Paraguay",https://www.google.com/maps/place/?q=place_id:ChIJuevBI9-nXZQR-sOxzgf6_Is
"Palestine, State of",Representative Office of Brazil Ramallah,"Al-Masyoun, Near EY Palestine, 3th Floor, PADICO House Bldg, Ramallah",https://www.google.com/maps/place/?q=place_id:ChIJUwxSd4TVAhURNVB79SRD6vU
French Polynesia,Brazilian Embassy,"P95J+XG4, esquina, Eligio Ayala & Tte. Cnel. Irrazabal, Asunción, Paraguay",https://www.google.com/maps/place/?q=place_id:ChIJPWPNm96nXZQRta_mLYfKgbo
Qatar,Embassy of Brazil,"Wadi Al-Hadab Street 980 Building 20, Doha, Qatar",https://www.google.com/maps/place/?q=place_id:ChIJjYh_1cPcRT4RA7PH2o1gH4A
Romania,Embassy of Brazil,"Strada Clucerului 78-80, București 011853, Romania",https://www.google.com/maps/place/?q=place_id:ChIJr9PiiA8CskARjUhKsyJsxJA
Russian Federation,Embassy of Brazil,"Bol'shaya Nikitskaya Ulitsa, 54, Moscow, Russia, 121069",https://www.google.com/maps/place/?q=place_id:ChIJ17LP-zVKtUYRWZWesOJhzjo
Saudi Arabia,Embassy of Brazil in Riyadh,"MJMH+MMF, Dareen St, Al Safarat, Riyadh 11693, Saudi Arabia",https://www.google.com/maps/place/?q=place_id:ChIJcwTcoFYcLz4R_QbbSQqiPOc
Singapore,Embassy of Brazil,"101 Thomson Rd, #29-01/03 United Square, Singapore 307591",https://www.google.com/maps/place/?q=place_id:ChIJq6qqqucZ2jERCWxk0NHUarY
Sierra Leone,"Embassy of Brazil, Freetown","Flat 13, 58E, Sir Samuel Lewis Road, Freetown, Sierra Leone",https://www.google.com/maps/place/?q=place_id:ChIJu7w3THLEBA8RRyQenjeC_UQ
El Salvador,Embassy and Consulate of Brazil in El Salvador,"Boulevard Sérgio Vieira De Mello, 132 Colonia San Benito, Blvr. Sergio Viera De Mello, San Salvador, El Salvador",https://www.google.com/maps/place/?q=place_id:ChIJy_3OqDowY48R1RolVCGsBUA
Serbia,Embassy of Brazil,"Krunska 14, Beograd 125405, Serbia",https://www.google.com/maps/place/?q=place_id:ChIJa_mOc6Z6WkcRSyyXzaLoQuw
Serbia,Embassy of Brazil,"Hilandarska 9, Beograd, Serbia",https://www.google.com/maps/place/?q=place_id:ChIJq6oaYLB6WkcRNTH0Aw010sM
South Sudan,Embassy of Brazil,"XQPM+7X3, Addis Ababa, Ethiopia",https://www.google.com/maps/place/?q=place_id:ChIJ0RUVyfCESxYRU1PDJdUUUL8
Sao Tome and Principe,Brazilian embassy,"8PVP+CCR, São Tomé, São Tomé & Príncipe",https://www.google.com/maps/place/?q=place_id:ChIJAR_-d2VqdhAR1B_F3H6xf7o
