Country,Embassy Name,Embassy Address,Google Maps URL
Romania,Embassy of Egypt,"Bulevardul Dacia 67, București 010407, Romania",https://www.google.com/maps/place/?q=place_id:ChIJXwUq-kz_sUARYS5NelAEokk
Russian Federation,Embassy of Egypt,"Kropotkinskiy Pereulok, 12, Moscow, Russia, 119034",https://www.google.com/maps/place/?q=place_id:ChIJh3KWeq9LtUYRng_r9NsP8Hc
Rwanda,Embassy of Egypt,"335P+4V6, KG 7 Ave, Kigali, Rwanda",https://www.google.com/maps/place/?q=place_id:ChIJ6aCMc5Wm3BkRN1OTV2mE6NQ
Saudi Arabia,Embassy of the Arab Republic of Egypt,"MJCF+V4X, Abdullah Alsahmi St, Al Safarat, Riyadh 12511, Saudi Arabia",https://www.google.com/maps/place/?q=place_id:ChIJDQ8Pt1wcLz4RGF5eJDF93p4
Saudi Arabia,Consulate of Egypt in Jeddah,"H599+28G, Ibn Abi Hafsah, Ar Rawdah, Jeddah 23434, Saudi Arabia",https://www.google.com/maps/place/?q=place_id:ChIJaz7VJGzQwxURa_9XT7Qyh4k
Sudan,Embassy of the Arab Republic of Egypt,"JG36+PG2, Khartoum, Sudan",https://www.google.com/maps/place/?q=place_id:ChIJ6_FirnOOjhYRhN511kbxh8Y
Sudan,Embassy of the Arab Republic of Egypt,"JG3F+Q73, El Gamhuriya Ave, Khartoum, Sudan",https://www.google.com/maps/place/?q=place_id:ChIJ95edKg-OjhYR-o4TiYV9Lgo
Senegal,The Egyptian Embassy in Dakar,"PG2F+CHC, Rue MZ 234, Dakar, Senegal",https://www.google.com/maps/place/?q=place_id:ChIJ59cN17tzwQ4R5I7NQuC5NzY
Senegal,Ambassade d'Egypte à Dakar,"PG2F+8CR, Dakar, Senegal",https://www.google.com/maps/place/?q=place_id:ChIJ9xHB8J5ywQ4Rfjbo_nXOFTM
Singapore,Embassy of Egypt,"8 Eu Tong Sen Street, The Central, Level 25, Units 82-85, Singapore 059818",https://www.google.com/maps/place/?q=place_id:ChIJGVzfRogZ2jERO2k0Xq0SInc
Svalbard and Jan Mayen,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
Solomon Islands,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
Somalia,Egyptian Embassy,"Address: P.O.Box 76, Kilom. #7, Makkah Almukarramah Ave, Mogadishu, Somalia",https://www.google.com/maps/place/?q=place_id:ChIJ93ilzfdBWD0Rlt5Y9uQuB8k
Saint Pierre and Miquelon,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
Serbia,Embassy of the Arab Republic of Egypt,"Andre Nikolića 12, Beograd 11040, Serbia",https://www.google.com/maps/place/?q=place_id:ChIJNzxcESBwWkcRTGLwYqEUEAQ
Slovakia,Embassy of Egypt,"Panská 236, 811 01 Bratislava, Slovakia",https://www.google.com/maps/place/?q=place_id:ChIJcerlduKLbEcRE0aVz5GbzUI
Slovenia,Embassy of Egypt,"Opekarska cesta 18A, 1000 Ljubljana, Slovenia",https://www.google.com/maps/place/?q=place_id:ChIJc93GjnEtZUcRNIQ9XgLMEwE
Sweden,Egyptens Ambassad,"Strandvägen 35, 114 56 Stockholm, Sweden",https://www.google.com/maps/place/?q=place_id:ChIJS8fnDFGdX0YR8mle6ZyZYOU
Eswatini,"Embassy Of Egypt In Pretoria, South Africa","270 Bourke St, Sunnyside, Pretoria, 0002, South Africa",https://www.google.com/maps/place/?q=place_id:ChIJ05NSIYJhlR4RrTGz1R29EOk
Seychelles,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
Syrian Arab Republic,Egyptian Embassy,"G73H+MQV, 17th April, Damascus, Syria",https://www.google.com/maps/place/?q=place_id:ChIJj1jd9rngGBURKyWaBqFtiqA
