Country,Embassy Name,Embassy Address,Google Maps URL
Kuwait,Embassy of Turkey,"9288+HC6, Kuwait City, Kuwait",https://www.google.com/maps/place/?q=place_id:ChIJE8nRq7Sczz8R0DUKpJS6bKU
Lao People's Democratic Republic,Embassy of Turkey,"House No.1-2. Donnokhum Road, Donnokhum Village, Sisattanak District, Laos",https://www.google.com/maps/place/?q=place_id:ChIJr02twPNnJDER5DuVcftBxQo
Lebanon,Embassy of Turkey,"WJC3+2GC, Rabieh, Lebanon",https://www.google.com/maps/place/?q=place_id:ChIJUZ2wHlw-HxURn-tezVRI6FE
Sri Lanka,Embassy of Turkey,"92 Kynsey Rd, Colombo 00700, Sri Lanka",https://www.google.com/maps/place/?q=place_id:ChIJFTY1_nVZ4joRD5xzKMpBgjU
Lithuania,Embassy of Turkey,"Didžioji g. 37, 01128 Vilnius, Lithuania",https://www.google.com/maps/place/?q=place_id:ChIJu4s2XhWU3UYRnEghfRwevmQ
Latvia,Embassy of Turkey,"Andreja Pumpura iela 2, Centra rajons, Rīga, LV-1010, Latvia",https://www.google.com/maps/place/?q=place_id:ChIJsbgW6s_P7kYRhyWMBSWOgW4
Morocco,Embassy of Turkey,"7 Av. Abdelkarim Benjelloun, Rabat 10010, Morocco",https://www.google.com/maps/place/?q=place_id:ChIJTRE0Nptrpw0RZen_0l2csNI
"Moldova, Republic of",Embassy of Turkey,"Alexei Mateevici St 55, Chișinău, Moldova",https://www.google.com/maps/place/?q=place_id:ChIJxUHrESx8yUARSex4gvZ5zHw
Maldives,Honorary Consulate General of Turkey,"Aage, 2nd floor,, Malé, Maldives",https://www.google.com/maps/place/?q=place_id:ChIJoQB7GAB_PzsRAwWI2YTVIxI
North Macedonia,Embassy of Turkey,"XCJF+X4G, Todor Aleksandrov, Skopje 1000, North Macedonia",https://www.google.com/maps/place/?q=place_id:ChIJw_1FwS0UVBMR7LvlCarwrLo
